tGravityAcc-mean()-X,tGravityAcc-max()-X,"angle(X,gravityMean)",tGravityAcc-mean()-Y,tGravityAcc-energy()-X,"angle(Y,gravityMean)",tGravityAcc-min()-X,tGravityAcc-max()-Y,tGravityAcc-min()-Y,tGravityAcc-energy()-Y,tGravityAccMag-std(),tBodyAccJerk-std()-X,"angle(Z,gravityMean)",fBodyAcc-mean()-X,"fBodyAccJerk-bandsEnergy()-1,16",fBodyAccJerk-max()-X,fBodyAcc-mad()-X,"fBodyAccJerk-bandsEnergy()-1,16_1","tGravityAcc-arCoeff()-Z,2",fBodyAccMag-energy(),tGravityAcc-min()-Z,tGravityAcc-mean()-Z,tGravityAcc-energy()-Z,fBodyAccJerk-energy()-X,"fBodyAccJerk-bandsEnergy()-1,24",fBodyAccMag-mad(),fBodyAcc-entropy()-X,tBodyAccJerkMag-energy(),tBodyGyroJerk-iqr()-Z,tBodyAccJerk-sma()
0.96339614,0.89205451,-0.84124676,-0.14083968,0.89946864,0.17994061,0.97743631,-0.16126549,-0.12321341,-0.97090521,-0.9505515,-0.99351906,-0.058626924,-0.99478319,-0.99998227,-0.99673689,-0.99688864,-0.99990021,0.99567491,-0.9982852,0.056482734,0.11537494,-0.97551037,-0.99993475,-0.99998083,-0.94887014,-0.94635692,-0.99989188,-0.99224298,-0.99352201
0.96656113,0.89206031,-0.8447876,-0.14155127,0.9078289,0.18028889,0.98452014,-0.16134256,-0.11489334,-0.97058275,-0.97605707,-0.99554814,-0.054316717,-0.99745072,-0.99998672,-0.99742453,-0.99788967,-0.99981738,0.8342711,-0.99947194,0.10276411,0.10937881,-0.97850045,-0.99995965,-0.99997443,-0.97577688,-1.0,-0.9998454,-0.99380781,-0.99139374
0.9668781,0.89240056,-0.84893347,-0.14200984,0.90866783,0.18063731,0.9867701,-0.16371122,-0.11489334,-0.97036812,-0.98801962,-0.99074281,-0.049117815,-0.99359409,-0.99996277,-0.99516317,-0.99409744,-0.9997323,0.714392,-0.99980673,0.10276411,0.10188392,-0.98167231,-0.99989404,-0.99990853,-0.98559356,-1.0,-0.99978994,-0.99277552,-0.98814767
0.96761519,0.89381715,-0.84864938,-0.14397645,0.91062071,0.18193476,0.98682105,-0.16371122,-0.12133575,-0.96939971,-0.98642135,-0.99269737,-0.047663183,-0.99549062,-0.99997806,-0.99340187,-0.99454681,-0.99979758,0.38637272,-0.99977021,0.095752648,0.099850143,-0.98241965,-0.9999235,-0.99992682,-0.98352367,-1.0,-0.99988361,-0.99540459,-0.99286835
0.9682244,0.89381715,-0.84786525,-0.14875022,0.91223466,0.18515116,0.98743352,-0.1667862,-0.12183357,-0.96705115,-0.99127536,-0.99642017,-0.043892254,-0.99728592,-0.99998834,-0.99700949,-0.99772495,-0.99987817,0.23926797,-0.9998731,0.094059354,0.094485896,-0.98436258,-0.99996912,-0.99997483,-0.99232413,-1.0,-0.9999016,-0.99396885,-0.99383198
0.9679482,0.89368344,-0.84963158,-0.14820997,0.91150257,0.18482251,0.98772183,-0.16697042,-0.12183357,-0.9673206,-0.99524897,-0.9948136,-0.042126383,-0.99665675,-0.9999866,-0.99697994,-0.99660484,-0.99993086,0.17537477,-0.99993904,0.094059354,0.091909715,-0.98527538,-0.99995112,-0.99996739,-0.99385116,-1.0,-0.99989265,-0.99196961,-0.99347303
0.9679295,0.89336965,-0.85215025,-0.14428214,0.91145298,0.18216997,0.98772183,-0.16557052,-0.12009236,-0.96926606,-0.98274603,-0.99520561,-0.043009987,-0.99584913,-0.99998302,-0.99493502,-0.99750802,-0.99982134,0.13769216,-0.99967648,0.094085133,0.093144628,-0.98484817,-0.99995573,-0.99996444,-0.98249004,-1.0,-0.99983299,-0.98904116,-0.99175981
0.96849148,0.89420478,-0.85101671,-0.14670536,0.91294266,0.18377851,0.98792586,-0.16557052,-0.12855866,-0.96803308,-0.97599674,-0.99527281,-0.041975833,-0.99519276,-0.99997989,-0.9965211,-0.99603738,-0.99978973,0.13917263,-0.99946993,0.085898255,0.091708159,-0.98531929,-0.99995652,-0.99996325,-0.97682912,-1.0,-0.99983103,-0.98892782,-0.99126851
0.96848115,0.89420478,-0.84797148,-0.15437401,0.91291536,0.18898248,0.98775397,-0.1678811,-0.1297641,-0.96412344,-0.97751373,-0.99647892,-0.037363927,-0.99709991,-0.99998673,-0.99676062,-0.99736252,-0.99977181,0.50364318,-0.99952032,0.083207756,0.085118255,-0.98745868,-0.99996973,-0.99997776,-0.97926401,-1.0,-0.99988478,-0.99315729,-0.99345335
0.96841804,0.89477777,-0.84829438,-0.15630201,0.91274816,0.19031033,0.98775397,-0.17596367,-0.1297641,-0.96313738,-0.98670243,-0.99115561,-0.034417291,-0.99351933,-0.99995307,-0.99474395,-0.99334566,-0.99950835,0.48421297,-0.99977682,0.083047547,0.08087447,-0.98880075,-0.99990058,-0.99993563,-0.98782548,-1.0,-0.99968081,-0.98661987,-0.98558942
